loan_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,purpose,home_ownership,loan_status
17700.0,36,18.99,D,D3,67000.0,22.96,debt_consolidation,OWN,Fully Paid
10000.0,60,25.82,E,E4,29000.0,0.0,other,OWN,Charged Off
10000.0,36,6.24,A,A2,92000.0,8.67,debt_consolidation,RENT,Fully Paid
14500.0,36,7.89,A,A5,73434.0,10.23,credit_card,RENT,Fully Paid
34900.0,60,18.49,E,E2,69810.0,16.9,credit_card,MORTGAGE,Fully Paid
4500.0,36,15.88,C,C4,49000.0,12.29,debt_consolidation,MORTGAGE,Fully Paid
15000.0,60,30.17,F,F3,39996.0,26.34,major_purchase,RENT,Charged Off
10000.0,36,18.24,D,D5,91000.0,14.96,debt_consolidation,RENT,Fully Paid
2000.0,36,13.67,C,C3,110000.0,32.15,debt_consolidation,MORTGAGE,Fully Paid
24000.0,36,7.89,A,A5,200000.0,11.81,debt_consolidation,RENT,Charged Off
7000.0,36,7.62,A,A3,75000.0,28.9,debt_consolidation,MORTGAGE,Fully Paid
35000.0,36,10.15,B,B2,104000.0,31.03,debt_consolidation,MORTGAGE,Fully Paid
35000.0,36,19.99,D,D4,120000.0,17.58,debt_consolidation,RENT,Fully Paid
14075.0,36,17.57,D,D2,36400.0,31.87,debt_consolidation,OWN,Fully Paid
7000.0,36,11.49,B,B5,35500.0,20.35,credit_card,MORTGAGE,Fully Paid
8800.0,36,9.17,B,B2,48200.0,35.41,debt_consolidation,OWN,Fully Paid
15000.0,36,8.39,B,B1,35000.0,34.85,home_improvement,OWN,Fully Paid
35000.0,36,17.27,D,D2,78000.0,26.97,home_improvement,MORTGAGE,Charged Off
35000.0,36,13.98,C,C3,115500.0,27.03,debt_consolidation,MORTGAGE,Fully Paid
28300.0,60,27.49,F,F4,80000.0,28.5,debt_consolidation,MORTGAGE,Charged Off
35000.0,36,21.6,E,E3,81500.0,14.47,debt_consolidation,RENT,Fully Paid
16000.0,36,6.17,A,A3,80000.0,1.8,home_improvement,OWN,Fully Paid
2200.0,36,19.53,D,D5,30000.0,12.84,debt_consolidation,RENT,Fully Paid
35000.0,36,24.5,F,F3,98000.0,7.75,major_purchase,RENT,Charged Off
8950.0,36,18.99,E,E1,28000.0,19.37,credit_card,RENT,Fully Paid
15475.0,60,24.99,F,F4,80000.0,18.02,other,RENT,Charged Off
4800.0,36,9.99,B,B3,70000.0,11.59,credit_card,RENT,Fully Paid
3000.0,36,7.99,A,A5,73000.0,20.71,moving,RENT,Fully Paid
24000.0,36,9.99,B,B3,115000.0,19.11,debt_consolidation,RENT,Fully Paid
6775.0,36,19.52,E,E2,60000.0,14.66,other,RENT,Fully Paid
35000.0,36,11.47,B,B5,75000.0,24.05,home_improvement,MORTGAGE,Fully Paid
3575.0,36,22.74,E,E1,41000.0,9.05,small_business,RENT,Fully Paid
5250.0,36,10.99,B,B2,48000.0,24.28,debt_consolidation,MORTGAGE,Fully Paid
26925.0,60,25.8,G,G1,106585.0,31.54,debt_consolidation,MORTGAGE,Charged Off
17100.0,36,22.74,E,E1,45000.0,24.48,debt_consolidation,OWN,Charged Off
12000.0,36,13.11,B,B4,80000.0,28.9,credit_card,MORTGAGE,Fully Paid
20000.0,60,16.29,D,D1,78000.0,12.29,debt_consolidation,RENT,Charged Off
4200.0,36,11.44,B,B4,52000.0,10.89,debt_consolidation,OWN,Fully Paid
18000.0,36,18.3,F,F1,121000.0,15.73,debt_consolidation,RENT,Fully Paid
22500.0,60,30.84,G,G2,35000.0,56.34,credit_card,MORTGAGE,Fully Paid
7525.0,36,7.89,A,A5,51000.0,28.82,credit_card,MORTGAGE,Fully Paid
16150.0,36,12.12,B,B3,79469.0,23.01,debt_consolidation,MORTGAGE,Fully Paid
4625.0,36,30.17,F,F3,15420.0,32.76,debt_consolidation,RENT,Charged Off
23925.0,60,25.78,F,F5,57000.0,5.98,home_improvement,RENT,Charged Off
20000.0,60,9.44,B,B1,75000.0,13.38,debt_consolidation,OWN,Fully Paid
19225.0,60,26.77,G,G1,62000.0,28.92,debt_consolidation,MORTGAGE,Charged Off
10000.0,36,6.24,A,A2,30000.0,16.85,credit_card,MORTGAGE,Fully Paid
11050.0,36,13.98,C,C3,84000.0,27.7,credit_card,MORTGAGE,Fully Paid
15000.0,60,19.19,E,E3,80000.0,11.15,debt_consolidation,RENT,Fully Paid
9325.0,36,20.99,E,E4,37555.0,26.24,medical,RENT,Fully Paid
16000.0,60,16.99,D,D1,100000.0,1.24,home_improvement,OWN,Charged Off
21000.0,36,7.89,A,A5,92000.0,22.52,debt_consolidation,MORTGAGE,Fully Paid
18000.0,36,22.74,E,E1,36000.0,34.33,debt_consolidation,OWN,Charged Off
35000.0,60,25.8,G,G1,79000.0,34.25,debt_consolidation,MORTGAGE,Charged Off
32000.0,60,21.0,E,E2,85000.0,19.95,debt_consolidation,MORTGAGE,Fully Paid
5000.0,36,8.19,A,A5,21994.8,8.68,debt_consolidation,MORTGAGE,Fully Paid
4600.0,36,7.99,A,A5,39000.0,14.74,debt_consolidation,RENT,Fully Paid
28000.0,36,12.49,B,B5,175000.0,8.6,credit_card,RENT,Fully Paid
9600.0,36,24.84,E,E3,53000.0,31.84,debt_consolidation,RENT,Charged Off
14400.0,36,11.67,B,B4,95000.0,25.43,other,MORTGAGE,Fully Paid
28000.0,60,19.72,D,D5,120000.0,18.24,debt_consolidation,RENT,Fully Paid
4000.0,36,7.24,A,A3,61275.0,22.39,moving,RENT,Fully Paid
11700.0,60,25.8,G,G1,39000.0,25.51,other,MORTGAGE,Charged Off
20000.0,60,8.9,A,A5,45000.0,13.87,debt_consolidation,RENT,Fully Paid
35000.0,60,24.99,F,F4,200000.0,18.65,other,RENT,Charged Off
35000.0,60,17.86,D,D5,90000.0,35.51,debt_consolidation,MORTGAGE,Fully Paid
8400.0,36,9.17,B,B2,35000.0,12.34,credit_card,RENT,Fully Paid
5000.0,36,7.89,A,A5,38000.0,1.58,home_improvement,MORTGAGE,Fully Paid
34225.0,60,29.67,G,G3,120000.0,23.64,small_business,MORTGAGE,Charged Off
28000.0,60,23.99,E,E2,75000.0,19.49,home_improvement,MORTGAGE,Fully Paid
12450.0,36,19.03,D,D3,200000.0,12.71,debt_consolidation,RENT,Charged Off
9600.0,36,23.99,E,E2,60000.0,23.08,credit_card,OWN,Fully Paid
8000.0,36,10.49,B,B2,43000.0,4.52,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,16.46,C,C5,40800.0,27.91,debt_consolidation,OWN,Charged Off
5000.0,36,9.32,A,A4,42000.0,19.31,medical,RENT,Fully Paid
20000.0,36,9.99,B,B3,135000.0,13.91,credit_card,MORTGAGE,Charged Off
25000.0,60,30.79,G,G1,74000.0,21.3,debt_consolidation,MORTGAGE,Charged Off
12000.0,36,7.9,A,A4,110000.0,4.85,debt_consolidation,RENT,Fully Paid
10000.0,36,18.92,D,D4,123000.0,18.27,debt_consolidation,MORTGAGE,Fully Paid
7550.0,36,18.99,E,E1,97000.0,11.73,debt_consolidation,MORTGAGE,Charged Off
12800.0,60,24.99,F,F4,46000.0,32.12,medical,RENT,Fully Paid
35000.0,36,30.99,G,G5,110000.0,20.47,major_purchase,RENT,Fully Paid
15000.0,36,6.03,A,A1,60000.0,27.66,credit_card,RENT,Fully Paid
4000.0,36,7.14,A,A3,250000.0,2.77,credit_card,MORTGAGE,Fully Paid
20000.0,36,12.79,C,C1,98000.0,21.16,credit_card,RENT,Fully Paid
20000.0,36,10.99,B,B2,85000.0,14.5,credit_card,OWN,Fully Paid
28000.0,36,7.89,A,A5,136000.0,12.98,credit_card,RENT,Fully Paid
13000.0,36,6.68,A,A3,72000.0,18.53,credit_card,RENT,Fully Paid
10000.0,36,16.99,D,D1,35000.0,29.2,debt_consolidation,RENT,Fully Paid
15000.0,60,16.99,D,D1,30000.0,15.28,debt_consolidation,MORTGAGE,Charged Off
20000.0,60,18.55,E,E2,59000.0,16.56,credit_card,MORTGAGE,Charged Off
11200.0,36,12.74,C,C1,45000.0,23.31,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,14.49,C,C4,91000.0,7.9,home_improvement,RENT,Fully Paid
18600.0,60,30.79,G,G1,75000.0,27.71,debt_consolidation,MORTGAGE,Fully Paid
24500.0,60,25.81,E,E4,83000.0,23.19,debt_consolidation,MORTGAGE,Fully Paid
20000.0,60,10.99,B,B2,62000.0,7.65,credit_card,MORTGAGE,Fully Paid
20975.0,60,24.99,F,F4,60000.0,19.92,home_improvement,MORTGAGE,Charged Off
7000.0,36,10.9,B,B4,56000.0,14.68,debt_consolidation,RENT,Fully Paid
5000.0,36,15.99,C,C5,79000.0,16.53,other,RENT,Fully Paid
10000.0,36,11.49,B,B5,78000.0,9.58,debt_consolidation,OWN,Fully Paid
17500.0,36,6.99,A,A3,50000.0,21.57,credit_card,MORTGAGE,Fully Paid
10000.0,36,6.24,A,A2,80000.0,10.1,debt_consolidation,MORTGAGE,Fully Paid
11950.0,60,29.49,F,F2,29300.0,31.87,debt_consolidation,OWN,Charged Off
20000.0,36,9.16,B,B2,71000.0,21.72,credit_card,OWN,Fully Paid
21000.0,36,5.32,A,A1,130000.0,15.7,debt_consolidation,MORTGAGE,Fully Paid
15450.0,60,18.92,D,D4,37000.0,19.3,debt_consolidation,MORTGAGE,Fully Paid
8000.0,36,7.9,A,A4,42000.0,16.47,credit_card,MORTGAGE,Fully Paid
18000.0,60,20.62,F,F2,110000.0,10.24,debt_consolidation,MORTGAGE,Fully Paid
4800.0,36,20.0,D,D4,39000.0,30.75,credit_card,RENT,Charged Off
7400.0,36,16.55,D,D2,101000.0,20.32,other,RENT,Fully Paid
18625.0,60,22.99,F,F1,52000.0,32.29,debt_consolidation,RENT,Charged Off
12000.0,60,25.29,E,E5,29000.0,13.7,debt_consolidation,RENT,Charged Off
32000.0,60,25.99,G,G4,196000.0,14.34,home_improvement,MORTGAGE,Fully Paid
4000.0,36,9.17,B,B2,113000.0,8.6,credit_card,MORTGAGE,Fully Paid
15000.0,60,25.83,G,G2,180000.0,12.75,major_purchase,MORTGAGE,Fully Paid
35000.0,60,25.57,F,F5,120000.0,13.46,debt_consolidation,MORTGAGE,Charged Off
1200.0,36,8.08,A,A5,76000.0,14.08,home_improvement,RENT,Fully Paid
3800.0,36,6.72,A,A3,36000.0,29.23,debt_consolidation,RENT,Charged Off
12250.0,60,20.9,G,G3,38000.0,9.35,home_improvement,MORTGAGE,Fully Paid
8000.0,36,5.32,A,A1,40000.0,16.09,other,OWN,Fully Paid
9175.0,36,11.67,B,B4,23000.0,21.71,debt_consolidation,OWN,Fully Paid
12000.0,60,23.99,E,E2,52000.0,22.13,debt_consolidation,OWN,Charged Off
13700.0,60,17.57,D,D4,87000.0,18.79,debt_consolidation,RENT,Fully Paid
20000.0,60,13.06,C,C1,65000.0,22.67,debt_consolidation,RENT,Fully Paid
15150.0,60,18.55,E,E2,63000.0,37.28,debt_consolidation,MORTGAGE,Charged Off
5600.0,36,7.26,A,A4,165000.0,10.02,debt_consolidation,MORTGAGE,Fully Paid
8700.0,36,6.83,A,A3,47120.0,13.3,debt_consolidation,RENT,Fully Paid
20000.0,36,7.21,A,A3,80000.0,12.48,house,MORTGAGE,Fully Paid
11325.0,60,25.99,G,G4,38000.0,17.34,debt_consolidation,MORTGAGE,Charged Off
12000.0,36,11.99,B,B5,47000.0,14.99,credit_card,RENT,Fully Paid
28250.0,60,20.2,E,E3,172000.0,19.2,debt_consolidation,MORTGAGE,Fully Paid
10000.0,36,7.9,A,A4,70000.0,10.55,debt_consolidation,MORTGAGE,Fully Paid
28000.0,36,6.92,A,A4,92500.0,13.42,debt_consolidation,MORTGAGE,Fully Paid
18375.0,36,18.99,D,D4,67000.0,17.18,debt_consolidation,RENT,Fully Paid
19200.0,36,6.89,A,A3,58000.0,22.29,debt_consolidation,MORTGAGE,Charged Off
6425.0,36,9.99,B,B3,50000.0,32.84,credit_card,MORTGAGE,Fully Paid
27000.0,60,19.52,E,E2,85000.0,8.85,other,MORTGAGE,Charged Off
35000.0,60,25.8,G,G1,150000.0,16.52,debt_consolidation,MORTGAGE,Fully Paid
35000.0,60,17.57,D,D4,132000.0,15.76,debt_consolidation,RENT,Fully Paid
8500.0,36,10.99,B,B4,42000.0,9.19,debt_consolidation,RENT,Fully Paid
35000.0,36,11.39,B,B3,94796.0,17.39,debt_consolidation,MORTGAGE,Fully Paid
12000.0,60,13.98,C,C3,110000.0,13.46,debt_consolidation,MORTGAGE,Fully Paid
30000.0,60,29.49,F,F2,77800.0,32.55,debt_consolidation,MORTGAGE,Charged Off
2775.0,36,14.64,C,C3,38000.0,27.01,home_improvement,MORTGAGE,Fully Paid
20000.0,36,16.99,D,D1,70000.0,10.26,debt_consolidation,MORTGAGE,Fully Paid
15000.0,36,6.89,A,A3,41000.0,16.98,credit_card,RENT,Fully Paid
12000.0,60,27.31,G,G2,34530.0,21.27,debt_consolidation,RENT,Charged Off
21875.0,36,8.19,A,A5,150000.0,24.49,credit_card,MORTGAGE,Fully Paid
15200.0,60,25.78,F,F5,65500.0,25.87,other,RENT,Fully Paid
2600.0,36,18.24,D,D5,35000.0,26.2,debt_consolidation,RENT,Charged Off
34925.0,36,10.42,B,B3,161000.0,32.58,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,15.8,C,C3,46000.0,8.44,credit_card,MORTGAGE,Charged Off
27000.0,60,23.63,F,F3,88000.0,21.37,debt_consolidation,MORTGAGE,Charged Off
29975.0,60,25.83,G,G2,60000.0,18.62,home_improvement,MORTGAGE,Fully Paid
27300.0,36,10.16,B,B1,62500.0,21.75,debt_consolidation,MORTGAGE,Fully Paid
9000.0,36,16.29,C,C4,42000.0,17.17,debt_consolidation,RENT,Fully Paid
15000.0,36,17.09,D,D1,40000.0,19.92,car,RENT,Charged Off
19800.0,60,30.94,G,G4,45000.0,20.48,home_improvement,MORTGAGE,Fully Paid
15000.0,36,17.99,D,D2,52000.0,16.55,debt_consolidation,RENT,Fully Paid
7000.0,36,12.99,B,B4,200000.0,14.05,credit_card,RENT,Fully Paid
10000.0,36,5.32,A,A1,50500.0,14.11,credit_card,MORTGAGE,Charged Off
10000.0,36,16.55,D,D2,63000.0,26.67,debt_consolidation,MORTGAGE,Fully Paid
22500.0,36,11.49,B,B5,165000.0,5.95,debt_consolidation,MORTGAGE,Fully Paid
15000.0,36,10.99,B,B4,120000.0,10.58,debt_consolidation,MORTGAGE,Fully Paid
20000.0,36,16.29,D,D1,80000.0,10.7,home_improvement,MORTGAGE,Fully Paid
8225.0,36,14.64,C,C3,300000.0,4.92,debt_consolidation,MORTGAGE,Fully Paid
9600.0,36,8.9,A,A5,67500.0,22.45,credit_card,RENT,Fully Paid
30000.0,36,13.49,C,C2,185000.0,26.35,debt_consolidation,MORTGAGE,Fully Paid
12200.0,60,21.99,F,F1,51000.0,17.13,car,RENT,Fully Paid
20000.0,60,16.55,D,D2,75000.0,38.18,debt_consolidation,RENT,Charged Off
12000.0,36,13.67,C,C4,145000.0,5.63,home_improvement,MORTGAGE,Fully Paid
16000.0,36,11.99,C,C1,60000.0,32.17,credit_card,MORTGAGE,Fully Paid
18000.0,36,11.44,B,B4,131000.0,23.77,debt_consolidation,RENT,Fully Paid
16000.0,60,20.99,E,E4,110000.0,18.81,debt_consolidation,MORTGAGE,Charged Off
10475.0,60,28.18,G,G1,72000.0,10.82,medical,MORTGAGE,Charged Off
30000.0,60,20.99,E,E4,80000.0,21.3,debt_consolidation,RENT,Fully Paid
17000.0,60,18.25,D,D3,80000.0,5.99,major_purchase,RENT,Fully Paid
22250.0,36,23.22,G,G4,95000.0,21.47,debt_consolidation,RENT,Fully Paid
18000.0,36,14.09,B,B5,55000.0,30.74,debt_consolidation,MORTGAGE,Fully Paid
40000.0,60,13.49,C,C2,83000.0,31.78,credit_card,MORTGAGE,Fully Paid
12450.0,36,18.54,E,E1,46000.0,37.73,debt_consolidation,OWN,Fully Paid
3200.0,36,11.67,B,B4,26208.0,12.59,debt_consolidation,MORTGAGE,Fully Paid
3000.0,36,9.49,B,B2,114400.0,32.52,debt_consolidation,MORTGAGE,Fully Paid
16000.0,36,12.69,C,C2,125000.0,14.29,debt_consolidation,MORTGAGE,Fully Paid
16650.0,36,6.03,A,A1,85000.0,12.88,debt_consolidation,RENT,Fully Paid
3200.0,36,12.99,C,C1,30000.0,15.68,other,RENT,Fully Paid
6400.0,36,9.25,A,A5,72000.0,10.95,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,11.99,B,B3,97500.0,12.39,credit_card,MORTGAGE,Fully Paid
35000.0,60,23.32,E,E3,110000.0,28.63,debt_consolidation,MORTGAGE,Charged Off
18350.0,60,19.19,E,E3,50000.0,21.92,debt_consolidation,RENT,Charged Off
35000.0,60,25.8,G,G1,240000.0,11.31,debt_consolidation,OWN,Fully Paid
12400.0,60,28.18,G,G1,31000.0,31.2,debt_consolidation,OWN,Fully Paid
3250.0,36,15.99,D,D2,25920.0,23.94,debt_consolidation,OWN,Fully Paid
5000.0,36,8.99,B,B1,28000.0,19.23,moving,RENT,Fully Paid
26000.0,60,7.69,A,A4,120000.0,21.62,debt_consolidation,MORTGAGE,Charged Off
35000.0,36,19.03,D,D3,175000.0,7.48,credit_card,RENT,Charged Off
25000.0,36,18.25,D,D3,123000.0,5.85,credit_card,MORTGAGE,Charged Off
26975.0,60,25.83,G,G2,54000.0,24.24,debt_consolidation,MORTGAGE,Fully Paid
6000.0,36,12.35,B,B4,140000.0,9.76,other,MORTGAGE,Fully Paid
10000.0,36,13.99,C,C4,50000.0,24.7,debt_consolidation,MORTGAGE,Fully Paid
19200.0,60,16.55,D,D2,52000.0,24.28,debt_consolidation,RENT,Fully Paid
30000.0,36,11.49,B,B5,85000.0,17.21,credit_card,MORTGAGE,Fully Paid
28000.0,36,12.85,B,B4,115000.0,8.67,debt_consolidation,RENT,Fully Paid
11000.0,36,9.17,B,B2,81000.0,17.27,credit_card,RENT,Fully Paid
5000.0,36,11.99,B,B3,67000.0,13.47,home_improvement,MORTGAGE,Fully Paid
25450.0,60,23.7,F,F1,71400.0,14.0,debt_consolidation,MORTGAGE,Fully Paid
12000.0,36,10.49,B,B3,75000.0,7.97,debt_consolidation,RENT,Charged Off
4700.0,36,7.56,A,A3,45000.0,18.61,credit_card,RENT,Fully Paid
20000.0,36,9.17,B,B2,70000.0,19.84,credit_card,RENT,Fully Paid
20000.0,36,7.49,A,A4,87000.0,15.59,debt_consolidation,MORTGAGE,Fully Paid
7200.0,36,15.99,C,C5,53000.0,28.42,debt_consolidation,RENT,Fully Paid
23050.0,60,26.06,G,G5,80000.0,3.83,small_business,RENT,Charged Off
12800.0,36,13.99,C,C3,100000.0,7.62,home_improvement,MORTGAGE,Fully Paid
2000.0,36,10.49,B,B3,35000.0,16.98,medical,RENT,Fully Paid
8000.0,36,12.69,C,C2,31000.0,29.07,debt_consolidation,RENT,Charged Off
4000.0,36,7.07,A,A2,55000.0,4.67,home_improvement,MORTGAGE,Fully Paid
10000.0,36,7.97,A,A5,120000.0,7.02,debt_consolidation,MORTGAGE,Fully Paid
14250.0,60,24.5,F,F3,62300.0,14.83,other,MORTGAGE,Charged Off
5000.0,36,6.97,A,A3,50000.0,15.36,credit_card,RENT,Fully Paid
6050.0,36,19.99,E,E1,47000.0,39.2,debt_consolidation,MORTGAGE,Fully Paid
8000.0,36,13.17,D,D2,55161.6,10.81,credit_card,RENT,Fully Paid
30000.0,60,9.99,B,B3,70000.0,21.81,credit_card,MORTGAGE,Fully Paid
11000.0,36,7.21,A,A3,88000.0,27.97,credit_card,OWN,Fully Paid
16800.0,60,15.22,C,C3,42588.0,25.36,credit_card,MORTGAGE,Fully Paid
12000.0,36,14.33,C,C1,60000.0,13.16,debt_consolidation,RENT,Fully Paid
15000.0,60,14.47,C,C2,140000.0,11.67,major_purchase,MORTGAGE,Fully Paid
5000.0,36,11.99,B,B5,150000.0,8.06,major_purchase,OWN,Fully Paid
25600.0,60,23.99,F,F3,64000.0,22.97,credit_card,MORTGAGE,Fully Paid
14500.0,36,5.32,A,A1,59900.0,17.81,credit_card,OWN,Fully Paid
15000.0,36,11.99,C,C1,72000.0,32.6,other,OWN,Fully Paid
11200.0,60,7.99,A,A5,75000.0,22.96,debt_consolidation,MORTGAGE,Fully Paid
5000.0,36,21.49,D,D5,130000.0,8.67,debt_consolidation,RENT,Fully Paid
1100.0,36,10.99,B,B4,98000.0,8.93,debt_consolidation,MORTGAGE,Fully Paid
11500.0,60,29.49,F,F2,33000.0,29.16,debt_consolidation,RENT,Charged Off
9150.0,36,8.18,B,B1,60000.0,23.98,credit_card,MORTGAGE,Fully Paid
16800.0,60,17.57,D,D4,50000.0,30.62,other,RENT,Charged Off
10000.0,36,9.17,B,B2,70000.0,27.34,debt_consolidation,OWN,Fully Paid
10375.0,60,22.4,E,E3,32000.0,26.89,debt_consolidation,RENT,Charged Off
20675.0,60,16.02,C,C5,56160.0,31.13,debt_consolidation,RENT,Fully Paid
11950.0,36,27.34,G,G1,39850.0,18.73,debt_consolidation,RENT,Fully Paid
32000.0,60,20.99,E,E5,90000.0,27.14,major_purchase,MORTGAGE,Charged Off
30000.0,60,16.91,C,C5,112000.0,19.1,debt_consolidation,MORTGAGE,Fully Paid
35000.0,60,18.99,D,D3,120000.0,20.09,debt_consolidation,RENT,Charged Off
2000.0,36,6.71,A,A3,97000.0,22.34,debt_consolidation,MORTGAGE,Fully Paid
15000.0,36,11.67,B,B4,100000.0,10.27,debt_consolidation,OWN,Fully Paid
12000.0,36,7.9,A,A4,55000.0,16.79,debt_consolidation,MORTGAGE,Fully Paid
20000.0,36,11.44,B,B4,99500.0,17.1,debt_consolidation,MORTGAGE,Fully Paid
25000.0,60,20.5,E,E2,72000.0,18.9,debt_consolidation,RENT,Fully Paid
12775.0,60,22.99,F,F2,47000.0,27.85,debt_consolidation,RENT,Fully Paid
30000.0,36,15.31,C,C5,156000.0,13.22,credit_card,MORTGAGE,Charged Off
35000.0,60,20.31,D,D5,100000.0,17.1,debt_consolidation,OWN,Fully Paid
12525.0,36,8.18,B,B1,50000.0,27.68,debt_consolidation,RENT,Fully Paid
10000.0,36,10.16,B,B1,53000.0,23.8,debt_consolidation,MORTGAGE,Charged Off
13750.0,36,18.75,D,D3,75000.0,26.48,debt_consolidation,OWN,Fully Paid
10000.0,60,13.99,C,C3,37509.32,17.25,debt_consolidation,MORTGAGE,Charged Off
16550.0,36,14.99,C,C4,36000.0,14.03,debt_consolidation,RENT,Fully Paid
15000.0,36,17.77,D,D1,60000.0,16.28,debt_consolidation,MORTGAGE,Fully Paid
5600.0,36,11.49,B,B5,40000.0,14.19,credit_card,RENT,Fully Paid
5000.0,36,12.79,C,C1,60000.0,15.34,other,RENT,Fully Paid
18000.0,60,15.61,D,D1,41000.0,16.86,major_purchase,MORTGAGE,Fully Paid
28000.0,60,26.49,F,F2,80000.0,18.15,debt_consolidation,MORTGAGE,Charged Off
10000.0,36,9.67,B,B1,80000.0,2.67,credit_card,RENT,Fully Paid
35000.0,36,13.11,B,B4,190000.0,17.48,debt_consolidation,MORTGAGE,Fully Paid
20000.0,60,13.56,C,C1,77000.0,23.97,debt_consolidation,MORTGAGE,Fully Paid
3000.0,36,10.99,B,B4,40000.0,28.77,credit_card,MORTGAGE,Fully Paid
1000.0,36,16.29,D,D1,28000.0,20.31,debt_consolidation,RENT,Fully Paid
2600.0,36,10.42,B,B3,38000.0,21.19,home_improvement,OWN,Fully Paid
8000.0,36,11.99,C,C1,58000.0,4.78,credit_card,MORTGAGE,Fully Paid
35000.0,60,25.8,G,G1,138000.0,6.45,debt_consolidation,RENT,Fully Paid
5700.0,36,13.67,C,C3,22728.0,26.77,debt_consolidation,OWN,Fully Paid
14000.0,36,10.75,B,B4,76000.0,6.17,house,MORTGAGE,Fully Paid
5200.0,36,17.1,C,C5,30000.0,18.79,medical,RENT,Charged Off
20000.0,60,21.99,F,F1,120000.0,19.25,debt_consolidation,MORTGAGE,Fully Paid
15925.0,60,24.5,F,F3,60000.0,18.66,debt_consolidation,MORTGAGE,Fully Paid
35000.0,60,28.18,G,G1,86000.0,22.34,debt_consolidation,RENT,Charged Off
28000.0,36,6.89,A,A3,85000.0,16.53,credit_card,MORTGAGE,Fully Paid
9000.0,36,10.78,B,B4,35000.0,16.8,debt_consolidation,OWN,Fully Paid
25000.0,36,6.49,A,A2,52000.0,14.91,debt_consolidation,MORTGAGE,Fully Paid
5000.0,36,11.05,B,B4,43093.0,6.52,house,MORTGAGE,Fully Paid
12000.0,36,10.99,B,B3,70000.0,6.62,credit_card,MORTGAGE,Fully Paid
16000.0,60,10.42,B,B3,80000.0,20.54,debt_consolidation,MORTGAGE,Fully Paid
15600.0,36,20.49,E,E4,39041.0,36.37,small_business,RENT,Fully Paid
28500.0,36,17.57,D,D4,65000.0,18.08,home_improvement,MORTGAGE,Fully Paid
21000.0,36,11.99,C,C1,120000.0,10.17,debt_consolidation,MORTGAGE,Fully Paid
